X_cord,Y_cord,Z_cord,rx,ry,rz,roll_angle,pitch_angle,yaw_angle
19.51619667,11.52818873,270,2.85158471,0.034179337,0.194984981,163.3837688,1.95833173,11.17181647
19.33667809,11.74596975,270,-3.304161408,-0.043687575,-0.326709733,189.3145035,2.503113677,18.71908885
19.71332493,11.50790546,270,2.856395267,0.067752745,0.219462223,163.6593934,3.881946315,12.57425913
18.33134537,10.68538723,269,-3.409258037,-0.084956992,-0.440025027,195.3360968,4.867677086,25.21157693
18.46137979,10.70786524,269,-3.42136318,-0.054825827,-0.361086671,196.0296704,3.141288488,20.68874226
18.42901178,10.47000821,270,-3.4160515,-0.054448169,-0.383074153,195.7253336,3.119650293,21.9485322
18.42901178,10.47000821,269,-3.4160515,-0.054448169,-0.383074153,195.7253336,3.119650293,21.9485322
19.99808716,11.35854874,269,2.982235746,0.046342402,0.321375374,170.8695218,2.655224055,18.41345257
20.33118341,11.9102466,269,-3.248588475,-0.011958213,-0.099291834,186.130409,0.685155142,5.689003004
20.33118341,11.9102466,269,-3.248588475,-0.011958213,-0.099291834,186.130409,0.685155142,5.689003004
20.26710274,11.65641446,269,-3.245558131,-0.036485959,-0.264448779,185.9567831,2.09049149,15.15179894
20.53003759,11.96596954,269,-3.211476458,-0.020211203,-0.154137437,184.004047,1.158016605,8.831424615
20.53003759,11.96596954,269,-3.211476458,-0.020211203,-0.154137437,184.004047,1.158016605,8.831424615
20.53003759,11.96596954,269,-3.211476458,-0.020211203,-0.154137437,184.004047,1.158016605,8.831424615
20.33118341,11.9102466,269,-3.248588475,-0.011958213,-0.099291834,186.130409,0.685155142,5.689003004
20.50124422,11.83918758,269,2.963227863,0.016384884,0.095193669,169.7804503,0.938784679,5.454195463
20.35362246,11.95874451,269,3.093829613,0.024095389,0.073121755,177.2633794,1.380564117,4.189567943
20.53003759,11.96596954,269,-3.211476458,-0.020211203,-0.154137437,184.004047,1.158016605,8.831424615
20.50124422,11.83918758,269,2.963227863,0.016384884,0.095193669,169.7804503,0.938784679,5.454195463
20.33118341,11.9102466,269,-3.248588475,-0.011958213,-0.099291834,186.130409,0.685155142,5.689003004
20.33118341,11.9102466,269,-3.248588475,-0.011958213,-0.099291834,186.130409,0.685155142,5.689003004
20.53003759,11.96596954,269,-3.211476458,-0.020211203,-0.154137437,184.004047,1.158016605,8.831424615
20.33118341,11.9102466,269,-3.248588475,-0.011958213,-0.099291834,186.130409,0.685155142,5.689003004
20.53003759,11.96596954,269,-3.211476458,-0.020211203,-0.154137437,184.004047,1.158016605,8.831424615
20.33118341,11.9102466,269,-3.248588475,-0.011958213,-0.099291834,186.130409,0.685155142,5.689003004
